county_fips_full,hurricane_count_5yr,severe_storm_count_5yr,flood_count_5yr,fire_count_5yr,coastal_storm_count_5yr,tropical_storm_count_5yr,tornado_count_5yr,climate_event_count_5yr
12087,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
12089,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12091,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
12093,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
12095,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
12097,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12099,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12101,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12103,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12105,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
12107,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12109,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12111,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12113,7.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
12115,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
12117,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12119,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
12121,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
12123,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12125,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
12127,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12129,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12131,8.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
12133,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
13001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13019,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13027,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13029,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13031,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13033,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13037,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13039,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13043,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13049,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13051,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13053,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13061,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13069,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13071,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13075,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13079,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13081,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13087,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13091,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13093,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13095,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13099,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13101,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13103,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13107,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13109,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13127,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13131,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13141,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13149,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13153,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13155,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13161,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13165,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13167,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13169,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13175,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13177,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13179,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13183,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13191,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13197,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13201,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13205,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13209,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13225,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13229,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13235,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13237,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13239,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13241,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13243,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13249,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13251,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13253,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13259,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13261,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13267,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13271,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13273,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13275,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
