NAME,B25077_001E,B19013_001E,B01003_001E,state,county
"Jefferson County, Florida",167600,51573,14458,12,065
"Lafayette County, Florida",118600,57852,8107,12,067
"Lake County, Florida",262500,66239,386829,12,069
"Lee County, Florida",290900,69368,772902,12,071
"Leon County, Florida",256900,61317,294128,12,073
"Levy County, Florida",151800,49933,43268,12,075
"Liberty County, Florida",113300,51723,7704,12,077
"Madison County, Florida",92400,43386,17986,12,079
"Manatee County, Florida",323900,71385,405069,12,081
"Marion County, Florida",194900,55265,378225,12,083
"Martin County, Florida",359200,77894,159399,12,085
"Miami-Dade County, Florida",387000,64215,2688237,12,086
"Monroe County, Florida",696900,80111,82044,12,087
"Nassau County, Florida",306800,84085,91538,12,089
"Okaloosa County, Florida",295400,73988,212021,12,091
"Okeechobee County, Florida",158500,50476,39870,12,093
"Orange County, Florida",329000,72629,1427403,12,095
"Osceola County, Florida",285200,64312,393745,12,097
"Palm Beach County, Florida",368300,76066,1494805,12,099
"Pasco County, Florida",233600,63187,569211,12,101
"Pinellas County, Florida",284300,66406,959918,12,103
"Polk County, Florida",215700,60901,736229,12,105
"Putnam County, Florida",125700,44852,73604,12,107
"St. Johns County, Florida",416100,100020,278722,12,109
"St. Lucie County, Florida",275900,66154,334682,12,111
"Santa Rosa County, Florida",272500,84715,188994,12,113
"Sarasota County, Florida",338500,77213,439392,12,115
"Seminole County, Florida",329300,79490,471321,12,117
"Sumter County, Florida",324400,70105,131832,12,119
"Suwannee County, Florida",136500,49729,43881,12,121
"Taylor County, Florida",89300,46239,21421,12,123
"Union County, Florida",146200,64043,15524,12,125
"Volusia County, Florida",251400,63075,558520,12,127
"Wakulla County, Florida",198600,72035,33732,12,129
"Walton County, Florida",327000,74832,76618,12,131
"Washington County, Florida",137600,47536,25014,12,133
"Appling County, Georgia",88500,43268,18441,13,001
"Atkinson County, Georgia",77100,38007,8265,13,003
"Bacon County, Georgia",95600,43938,11138,13,005
"Baker County, Georgia",121600,45417,2878,13,007
"Baldwin County, Georgia",154400,54699,43778,13,009
"Banks County, Georgia",229900,69096,18381,13,011
"Barrow County, Georgia",228400,75053,84399,13,013
"Bartow County, Georgia",237000,74812,109410,13,015
"Ben Hill County, Georgia",100000,38255,17169,13,017
"Berrien County, Georgia",108300,48670,18187,13,019
"Bibb County, Georgia",155200,48897,156554,13,021
"Bleckley County, Georgia",121600,56021,12413,13,023
"Brantley County, Georgia",91900,40166,18105,13,025
"Brooks County, Georgia",128400,42263,16275,13,027
"Bryan County, Georgia",276100,90627,44995,13,029
"Bulloch County, Georgia",172500,53675,79829,13,031
"Burke County, Georgia",98300,50321,24337,13,033
"Butts County, Georgia",200000,60076,25522,13,035
"Calhoun County, Georgia",77100,48663,5594,13,037
"Camden County, Georgia",213400,68104,55105,13,039
"Candler County, Georgia",141500,45519,10946,13,043
"Carroll County, Georgia",196900,66895,120060,13,045
"Catoosa County, Georgia",191200,68896,68052,13,047
"Charlton County, Georgia",107500,45770,12547,13,049
"Chatham County, Georgia",256400,66171,296266,13,051
"Chattahoochee County, Georgia",129300,52943,9402,13,053
"Chattooga County, Georgia",86400,43556,24902,13,055
"Cherokee County, Georgia",358400,100824,268567,13,057
"Clarke County, Georgia",242600,48692,128864,13,059
"Clay County, Georgia",81200,43264,2855,13,061
"Clayton County, Georgia",167200,56207,296312,13,063
"Clinch County, Georgia",73900,53350,6713,13,065
"Cobb County, Georgia",346000,94244,765813,13,067
"Coffee County, Georgia",122500,48398,43056,13,069
"Colquitt County, Georgia",113900,47235,45813,13,071
"Columbia County, Georgia",259000,92571,156921,13,073
"Cook County, Georgia",113600,46706,17242,13,075
"Coweta County, Georgia",291900,90031,147449,13,077
"Crawford County, Georgia",149400,56948,12156,13,079
"Crisp County, Georgia",106900,47463,20255,13,081
"Dade County, Georgia",157900,59531,16239,13,083
"Dawson County, Georgia",312600,84516,27355,13,085
"Decatur County, Georgia",140800,47383,29063,13,087
"DeKalb County, Georgia",301100,76044,761209,13,089
"Dodge County, Georgia",104600,46091,19977,13,091
"Dooly County, Georgia",94500,54109,11236,13,093
"Dougherty County, Georgia",119100,45640,85038,13,095
"Douglas County, Georgia",227800,76930,144735,13,097
"Early County, Georgia",126500,48355,10753,13,099
"Echols County, Georgia",114900,61184,3707,13,101
"Effingham County, Georgia",219000,79474,65314,13,103
"Elbert County, Georgia",104500,48190,19570,13,105
"Emanuel County, Georgia",87500,47905,22907,13,107
"Evans County, Georgia",130500,55222,10759,13,109
"Fannin County, Georgia",260100,54857,25436,13,111
"Fayette County, Georgia",369700,105910,119259,13,113
"Floyd County, Georgia",174000,57868,98541,13,115
"Forsyth County, Georgia",451100,131660,253225,13,117
"Franklin County, Georgia",146700,52597,23480,13,119
"Fulton County, Georgia",398300,86267,1061944,13,121
"Gilmer County, Georgia",259700,70334,31519,13,123
"Glascock County, Georgia",117300,60469,2903,13,125
"Glynn County, Georgia",238000,65970,84566,13,127
"Gordon County, Georgia",179100,57555,57785,13,129
"Grady County, Georgia",147000,51929,26075,13,131
"Greene County, Georgia",308000,77527,19020,13,133
"Gwinnett County, Georgia",307300,82296,957977,13,135
"Habersham County, Georgia",188800,61292,46326,13,137
"Hall County, Georgia",277900,74153,204953,13,139
"Hancock County, Georgia",93500,31767,8588,13,141
"Haralson County, Georgia",187700,65940,30178,13,143
"Harris County, Georgia",273200,85936,34914,13,145
"Hart County, Georgia",180500,61765,26110,13,147
"Heard County, Georgia",134900,62965,11489,13,149
"Henry County, Georgia",245200,79663,240853,13,151
"Houston County, Georgia",189500,76968,164117,13,153
"Irwin County, Georgia",94700,46383,9487,13,155
"Jackson County, Georgia",280600,82056,77033,13,157
"Jasper County, Georgia",184000,57374,14882,13,159
"Jeff Davis County, Georgia",106800,41780,14791,13,161
"Jefferson County, Georgia",90900,46865,15591,13,163
"Jenkins County, Georgia",81800,31463,8704,13,165
"Johnson County, Georgia",81300,47796,9225,13,167
"Jones County, Georgia",159500,66288,28382,13,169
"Lamar County, Georgia",177000,64966,18676,13,171
"Lanier County, Georgia",150200,39971,9964,13,173
"Laurens County, Georgia",132000,46776,49407,13,175
"Lee County, Georgia",208800,83632,32968,13,177
"Liberty County, Georgia",158400,55149,65550,13,179
"Lincoln County, Georgia",164300,50754,7726,13,181
"Long County, Georgia",159900,56819,16804,13,183
"Lowndes County, Georgia",177800,52821,118257,13,185
"Lumpkin County, Georgia",249400,67592,33405,13,187
"McDuffie County, Georgia",140900,54752,21715,13,189
"McIntosh County, Georgia",157600,51262,11183,13,191
"Macon County, Georgia",78100,33960,12099,13,193
"Madison County, Georgia",170600,53626,30378,13,195
"Marion County, Georgia",111300,48836,7508,13,197
"Meriwether County, Georgia",147200,52392,20679,13,199
"Miller County, Georgia",119400,52132,5923,13,201
"Mitchell County, Georgia",98400,45966,21634,13,205
"Monroe County, Georgia",204100,74867,28287,13,207
"Montgomery County, Georgia",105300,49138,8687,13,209
"Morgan County, Georgia",293300,81524,20171,13,211
"Murray County, Georgia",153700,60617,40063,13,213
"Muscogee County, Georgia",168400,54561,204572,13,215
"Newton County, Georgia",200300,70732,113298,13,217
"Oconee County, Georgia",389200,116221,41978,13,219
"Oglethorpe County, Georgia",176300,66672,14974,13,221
"Paulding County, Georgia",251100,89237,169898,13,223
"Peach County, Georgia",170500,60940,28054,13,225
"Pickens County, Georgia",263200,72558,33439,13,227
"Pierce County, Georgia",116800,54861,19822,13,229
"Pike County, Georgia",234700,83866,19145,13,231
"Polk County, Georgia",151400,51956,43019,13,233
"Pulaski County, Georgia",120500,42545,9887,13,235
"Putnam County, Georgia",203300,60825,22206,13,237
"Quitman County, Georgia",85800,38889,2180,13,239
"Rabun County, Georgia",236900,57261,16915,13,241
"Randolph County, Georgia",83800,24638,6365,13,243
"Richmond County, Georgia",142100,50605,206153,13,245
"Rockdale County, Georgia",221800,68999,93641,13,247
"Schley County, Georgia",154300,53274,4565,13,249
"Screven County, Georgia",107800,49941,14026,13,251
"Seminole County, Georgia",110300,46063,9117,13,253
"Spalding County, Georgia",178800,57367,67415,13,255
"Stephens County, Georgia",154200,52901,26732,13,257
"Stewart County, Georgia",72500,43094,5121,13,259
"Sumter County, Georgia",130000,38899,29378,13,261
"Talbot County, Georgia",119400,48065,5793,13,263
"Taliaferro County, Georgia",69200,45881,1635,13,265
"Tattnall County, Georgia",115600,51868,24309,13,267
"Taylor County, Georgia",90100,40727,7799,13,269
"Telfair County, Georgia",90000,41801,12619,13,271
"Terrell County, Georgia",97000,43507,9004,13,273
"Thomas County, Georgia",178900,55958,45665,13,275
"Tift County, Georgia",140700,52561,41247,13,277
"Toombs County, Georgia",124800,47310,26946,13,279
"Towns County, Georgia",278700,55574,12546,13,281
"Treutlen County, Georgia",98500,38641,6411,13,283
"Troup County, Georgia",166700,53599,69527,13,285
"Turner County, Georgia",85600,39666,8894,13,287
"Twiggs County, Georgia",89300,50446,7955,13,289
"Union County, Georgia",252100,59783,24880,13,291
"Upson County, Georgia",136500,48740,27638,13,293
"Walker County, Georgia",149600,52276,68065,13,295
"Walton County, Georgia",267400,79425,97752,13,297
"Ware County, Georgia",94600,44138,35917,13,299
"Warren County, Georgia",82700,45091,5197,13,301
"Washington County, Georgia",113700,43810,19975,13,303
"Wayne County, Georgia",142200,49847,30277,13,305
"Webster County, Georgia",77100,35000,2354,13,307
"Wheeler County, Georgia",82600,36354,7550,13,309
"White County, Georgia",232000,66256,28165,13,311
"Whitfield County, Georgia",175000,59659,103033,13,313
"Wilcox County, Georgia",65300,46759,8839,13,315
"Wilkes County, Georgia",92500,51780,9610,13,317
"Wilkinson County, Georgia",87600,40757,8852,13,319
"Worth County, Georgia",98000,56496,20706,13,321
